FormattedDate,apparentTemperature,cloudCover,dewPoint,humidity,icon,precipIntensity,precipProbability,pressure,summary,temperature,time,visibility,windBearing,windSpeed
2013-12-31 23:00:00,3.49,0.61,4.82,0.85,partly-cloudy-night,0,0,1006.15,Mostly Cloudy,7.23,1388530800,13.6,213,6.63
2014-01-01 00:00:00,3.03,0.39,4.83,0.85,partly-cloudy-night,0,0,1006.22,Partly Cloudy,7.11,1388534400,13.36,211,7.61
2014-01-01 01:00:00,2.56,0.24,4.8,0.87,clear-night,0,0,1006.29,Clear,6.75,1388538000,12.02,197,7.66
2014-01-01 02:00:00,2.38,0.24,4.49,0.87,clear-night,0,0,1006.26,Clear,6.55,1388541600,13.76,198,7.39
2014-01-01 03:00:00,1.96,0.58,4.48,0.87,partly-cloudy-night,0,0,1005.73,Partly Cloudy,6.49,1388545200,13.55,183,8.51
2014-01-01 04:00:00,2.06,0.25,4.39,0.86,partly-cloudy-night,0,0,1005.71,Partly Cloudy,6.55,1388548800,13.76,188,8.46
2014-01-01 05:00:00,2.05,0.44,4.44,0.86,partly-cloudy-night,0,0,1005.66,Partly Cloudy,6.68,1388552400,12.17,192,9.11
2014-01-01 06:00:00,1.96,0.27,4.36,0.86,partly-cloudy-night,0,0,1005.28,Partly Cloudy,6.55,1388556000,12.44,195,8.8
2014-01-01 07:00:00,1.92,0.39,4.63,0.88,partly-cloudy-night,0,0,1004.94,Partly Cloudy,6.54,1388559600,12.17,185,8.91
2014-01-01 08:00:00,1.83,0.56,4.36,0.86,partly-cloudy-night,0,0,1004.81,Partly Cloudy,6.46,1388563200,12.75,181,8.83
2014-01-01 09:00:00,2.37,0.85,4.76,0.85,partly-cloudy-day,0,0,1004.31,Mostly Cloudy,7.14,1388566800,11.86,177,10.2
2014-01-01 10:00:00,2.53,0.8,5.06,0.86,partly-cloudy-day,0,0,1003.6,Mostly Cloudy,7.32,1388570400,12.63,174,10.56
2014-01-01 11:00:00,2.95,0.79,5.28,0.84,wind,0,0,1002.35,Windy and Mostly Cloudy,7.81,1388574000,11.83,173,11.63
2014-01-01 12:00:00,3.32,0.77,5.66,0.84,wind,0,0,1000.74,Windy and Mostly Cloudy,8.16,1388577600,12.47,173,12.07
2014-01-01 13:00:00,3.38,0.8,6.07,0.86,wind,0.315,0.52,999.07,Windy and Mostly Cloudy,8.24,1388581200,9.78,167,12.41
2014-01-01 14:00:00,3.6,0.9,6.22,0.87,rain,0.6401,1,997.57,Light Rain and Windy,8.33,1388584800,9.46,166,11.91
2014-01-01 15:00:00,3.77,0.9,6.5,0.87,wind,0,0,996.11,Windy and Mostly Cloudy,8.62,1388588400,9,167,13.04
2014-01-01 16:00:00,4.12,0.9,6.59,0.86,wind,0.254,1,995.57,Windy and Mostly Cloudy,8.74,1388592000,8.95,173,12.05
2014-01-01 17:00:00,4.65,0.9,7.02,0.86,wind,0.2819,0.52,994.29,Windy and Mostly Cloudy,9.19,1388595600,10.44,175,12.49
2014-01-01 18:00:00,4.77,0.94,7.13,0.86,wind,0,0,993.08,Windy and Overcast,9.29,1388599200,10.75,173,12.58
2014-01-01 19:00:00,4.93,0.9,7.26,0.87,rain,0.7442,1,992.4,Light Rain and Windy,9.4,1388602800,10.4,177,12.47
