GMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2014-10-17,18,16,13,16,13,12,93,83,66,1009,1007,1003,27,18,6,29,14,,0.25,,Rain,-1
2014-10-18,18,17,16,16,14,14,90,80,72,1011,1008,1005,31,20,6,29,24,,0.25,,Rain,-1
2014-10-19,17,16,13,14,12,11,91,77,60,1016,1012,1010,31,26,18,37,23,,0.51,,Rain,-1
2014-10-20,15,13,11,12,11,10,90,83,69,1017,1015,1011,31,24,11,32,21,,1.02,,Rain,-1
2014-10-21,14,12,8,12,7,2,91,63,42,1023,1011,1001,31,26,6,45,26,,0.00,,Rain,-1
2014-10-22,13,10,8,10,7,3,83,67,58,1027,1025,1023,31,23,14,24,16,,0.25,,Rain,-1
2014-10-23,16,13,11,14,11,9,94,82,72,1023,1019,1016,31,24,6,27,18,,0.51,,Rain,-1
2014-10-24,16,13,9,14,12,8,95,87,77,1016,1014,1012,31,25,3,21,13,,2.03,,Rain,-1
2014-10-25,14,11,8,10,9,8,94,79,61,1020,1018,1016,31,25,10,27,10,,0.25,,Rain,-1
2014-10-26,14,13,11,11,9,8,78,66,57,1021,1020,1019,31,31,31,29,21,,0.00,,,-1
2014-10-27,16,14,13,13,12,11,89,80,73,1020,1018,1015,31,22,11,27,18,,0.00,,,-1
2014-10-28,19,16,12,14,13,11,94,77,59,1015,1012,1010,31,23,10,23,14,,0.00,,Rain,-1
2014-10-29,13,11,8,14,10,7,99,93,81,1017,1016,1013,26,11,3,21,11,,0.76,,Rain,-1
2014-10-30,18,14,10,15,14,13,96,87,76,1017,1016,1015,18,9,5,21,11,,0.00,,,-1
2014-10-31,21,18,14,14,14,12,94,76,48,1017,1014,1012,26,13,5,32,14,,0.00,,,-1
2014-11-1,16,13,12,15,11,8,91,74,54,1015,1013,1007,31,25,11,35,23,,0.00,,Rain,-1
2014-11-2,14,12,9,13,11,7,94,83,69,1007,1003,998,31,23,5,26,19,,4.06,,Rain,-1
2014-11-3,11,9,7,7,6,4,88,74,53,996,990,988,31,26,14,27,16,,0.25,,Rain,-1
2014-11-4,9,6,2,7,5,3,100,92,79,1000,993,988,31,16,0,10,5,,4.06,,Fog-Rain,-1
2014-11-5,11,7,3,6,4,2,93,79,57,1010,1006,1001,31,19,2,14,8,,0.00,,Fog-Rain,-1
2014-11-6,13,8,2,12,7,2,96,84,67,1010,1003,992,24,11,2,34,13,,2.03,,Fog-Rain,-1
2014-11-7,12,10,8,12,9,6,95,87,76,999,992,987,31,18,3,47,21,,3.05,,Rain,-1
2014-11-8,13,10,7,11,8,5,95,83,68,1001,998,995,31,19,5,32,16,,9.91,,Rain,-1
2014-11-9,12,8,3,8,6,2,99,84,60,1004,1003,1001,31,16,2,14,5,,0.25,,Fog-Rain,-1
2014-11-10,13,10,7,10,8,6,94,82,69,1003,1001,996,31,21,3,27,13,,0.51,,Rain,-1
2014-11-11,12,11,11,11,10,9,94,90,84,996,992,990,31,17,5,26,23,,1.02,,Rain,-1
2014-11-12,13,11,8,10,8,7,95,82,54,1001,994,989,31,26,5,26,14,,2.03,,Rain,-1
2014-11-13,14,11,8,12,9,8,95,84,70,1002,999,996,31,25,6,47,18,,0.76,,Rain,-1
2014-11-14,13,11,9,12,9,7,91,77,53,999,997,993,31,24,5,24,18,,3.05,,Rain,-1
2014-11-15,9,8,6,9,8,5,98,95,89,1000,998,997,31,9,0,13,8,,0.25,,Fog-Rain,-1
2014-11-16,11,9,7,9,8,7,99,90,76,1002,1000,998,31,10,5,19,11,,0.25,,Rain,-1
2014-11-17,9,9,8,9,7,7,95,89,82,1006,1001,999,31,14,3,21,10,,3.05,,Rain,-1
2014-11-18,12,9,6,8,7,6,98,89,67,1014,1010,1006,27,9,0,16,10,,0.00,,Fog,-1
2014-11-19,12,9,5,8,8,7,94,85,68,1022,1017,1013,27,12,5,19,13,,2.03,,Rain,-1
2014-11-20,10,9,8,8,7,6,91,83,73,1025,1024,1022,11,8,6,16,11,,0.00,,,-1
2014-11-21,11,8,7,10,7,5,95,90,82,1023,1016,1010,6,6,3,23,13,,6.10,,Rain,-1
2014-11-22,14,12,9,13,11,9,98,90,76,1016,1012,1009,31,17,2,19,13,,5.08,,Rain,-1
2014-11-23,9,7,2,9,6,1,97,87,69,1023,1019,1015,31,15,5,10,5,,0.25,,Rain,-1
2014-11-24,9,4,-1,5,2,-1,99,88,56,1028,1027,1024,31,13,2,6,2,,0.25,,Fog,-1
2014-11-25,5,2,-2,5,2,-2,100,95,87,1027,1022,1017,14,6,2,19,6,,2.03,,Fog-Rain,-1
2014-11-26,7,6,4,7,6,5,100,97,95,1016,1012,1008,6,4,2,14,10,,0.25,,Rain,-1
2014-11-27,9,8,7,8,7,6,99,91,76,1007,1003,1000,14,7,0,13,5,,0.00,,Fog,-1
2014-11-28,12,9,7,9,8,7,96,86,80,1006,1002,1000,14,10,5,23,16,,0.76,,Rain,-1
2014-11-29,12,9,6,10,8,6,99,94,80,1013,1010,1006,11,5,0,14,8,,0.25,,Fog-Rain,-1
